label	sigma_J_eV	sigma_eps_eV	J_0_eV	eps_0_eV	k_parallel	sigma_sites
Fig1_1	0.01	    0.00	    -0.01	    0.0	        0.00	    0.0
Fig1_2	0.01	    0.005	    -0.01   	0.0	        0.00	    0.0
Fig1_3	0.01	    0.01	    -0.01	    0.0	        0.00	    0.0
Fig1_4	0.01	    0.02	    -0.01	    0.0	        0.00    	0.0
Fig1_5  0.01        0.03        -0.01       0.0         0.00        0.0
