label	sigma_J_eV	sigma_eps_eV	J_0_eV	eps_0_eV	k_parallel	sigma_sites
Fig2_1	0.00	    0.00        -0.00707	    0.0	        0.00	    0.0
Fig2_2	0.00211	    0.00        -0.00675        0.0	        0.00	    0.0
Fig2_3	0.00374	    0.00        -0.00600	    0.0	        0.00	    0.0
Fig2_4	0.00500     0.00        -0.00500	    0.0	        0.00    	0.0
Fig2_5  0.00500     0.00        -0.00444       0.0         0.00        0.0
Fig2_6  0.00662     0.00        -0.00250       0.0         0.00        0.0
