label	sigma_J_eV	sigma_eps_eV	J_0_eV	eps_0_eV	k_parallel	sigma_sites
w0_2	0.01	    0.01	    -0.01	    0.00        0.00	    0.2
w0_3	0.01	    0.01	    -0.01   	0.00	    0.00	    0.3
w0_4	0.01	    0.01	    -0.01	    0.00	    0.00	    0.4
w1	    0.01	    0.01	    -0.01	    0.00	    0.00    	1.0
w5      0.01        0.01        -0.01       0.00        0.00        5.0
w20     0.01        0.01        -0.01       0.00        0.00        20.0
