label	sigma_J_eV	sigma_eps_eV	J_0_eV	eps_0_eV	k_parallel	sigma_sites
g0_0	0.01	    0.00	    -0.01	    0.0	        0.00	    40.0
g0_005	0.01	    0.005	    -0.01   	0.0	        0.00	    40.0
g0_01	0.01	    0.01	    -0.01	    0.0	        0.00	    40.0
g0_02	0.01	    0.02	    -0.01	    0.0	        0.00    	40.0
g0_1    0.01        0.10        -0.01       0.0         0.00        40.0
