label	sigma_J_eV	sigma_eps_eV	J_0_eV	eps_0_eV	k_parallel	sigma_sites
k_pi_4	0.01	    0.01	    -0.01	    0.0	    0.78539	    40.0
k_pi_2	0.01	    0.01	    -0.01   	0.0	    1.57079	    40.0
k_0	    0.01	    0.01	    -0.01	    0.0	    0.00	    40.0
k_-pi_4	0.01	    0.01	    -0.01	    0.0	    -0.78539	40.0
k_-pi_2 0.01        0.01        -0.01       0.0     -1.57079    40.0
